loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,4,0,4,0,5,0,5,0,,,,,,,5,,,1,1413.16531256499,X,d,go,d,1,,0.2590335523709655,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,6,0,6,0,,,,,,,6,,,1,1414.5330063190195,Y,l,go,l,1,,0.2829875033639837,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,7,0,7,0,,,,,,,7,,,1,1415.9174249296484,X,d,go,d,1,,0.2601879771682434,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,8,0,8,0,,,,,,,8,,,1,1417.2855152899574,Y,l,go,l,1,,0.2835334430274088,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,9,0,9,0,,,,,,,9,,,1,1418.6695979004144,X,d,go,d,1,,0.3389434092969168,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,10,0,10,0,,,,,,,10,,,1,1420.1206104827288,Y,l,go,l,1,,0.2961569642939139,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,11,0,11,0,,,,,,,11,,,1,1421.5218310408818,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,12,0,12,0,,,,,,,12,,,1,1423.323135671817,X,d,go,d,1,,0.2618679779698141,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,13,0,13,0,,,,,,,13,,,1,1424.6915770625928,Y,l,go,l,1,,0.3642336033808533,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,14,0,14,0,,,,,,,14,,,1,1426.176304570341,Y,None,nogo,None,1,1426.9766142916924,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
