loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,4,0,4,0,15,0,15,0,,,,,,,15,,,1,1749.305113549035,X,l,go,l,1,,0.3857442586631805,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,16,0,16,0,,,,,,,16,,,1,1750.7226575890127,Y,d,go,d,1,,0.3592657260451233,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,17,0,17,0,,,,,,,17,,,1,1752.1070767965684,Y,None,nogo,None,1,1752.9080010143007,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,18,0,18,0,,,,,,,18,,,1,1753.90871083214,Y,None,nogo,None,1,1754.7095506862788,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,19,0,19,0,,,,,,,19,,,1,1755.7099807466766,X,l,go,l,1,,0.4121888519002823,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,20,0,20,0,,,,,,,20,,,1,1757.1441773846418,Y,d,go,d,1,,0.3862063190426852,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,21,0,21,0,,,,,,,21,,,1,1758.5622717273836,Y,None,nogo,d,0,,0.6960985324294597,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,22,0,22,0,,,,,,,22,,,1,1760.2799436218447,X,l,go,l,1,,0.5151240747218253,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,23,0,23,0,,,,,,,23,,,1,1761.8145256656826,Y,d,go,d,1,,0.5162169226750848,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,24,0,24,0,,,,,,,24,,,1,1763.3656769136105,Y,None,nogo,None,1,1764.1665167677493,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,25,0,25,0,,,,,,,25,,,1,1765.1673560400704,Y,None,nogo,None,1,1765.9678996519287,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,26,0,26,0,,,,,,,26,,,1,1766.9683408638339,X,l,go,l,1,,0.4505301666467858,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,27,0,27,0,,,,,,,27,,,1,1768.4364201520366,Y,d,go,d,1,,0.4698833693837514,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,28,0,28,0,,,,,,,28,,,1,1769.9539510526301,Y,None,nogo,None,1,1770.753910907195,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,29,0,29,0,,,,,,,29,,,1,1771.754753088604,X,l,go,l,1,,0.4797893039758492,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
