loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,1,0,1,0,55,0,55,0,,,,,,,55,,,0.2,1995.544412342133,1996.3444657723885,X,None,nogo,None,1,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,56,0,56,0,,,,,,,56,,,0.2,1996.5444991299883,,X,None,nogo,l,0,0.3344937179936096,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,57,0,57,0,,,,,,,57,,,0.2,1997.194362087641,,Y,d,go,d,1,0.34038268483709544,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,58,0,58,0,,,,,,,58,,,0.2,1997.8446235904703,,X,l,go,l,1,0.4269319762242958,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,59,0,59,0,,,,,,,59,,,0.2,1998.5780637197895,1999.3778543622466,X,None,nogo,None,1,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,60,0,60,0,,,,,,,60,,,0.2,1999.577966265264,,Y,d,go,l,0,0.2776321697747335,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,61,0,61,0,,,,,,,61,,,0.2,2000.1610452552559,2000.9612969884183,X,l,go,None,0,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,62,0,62,0,,,,,,,62,,,0.2,2001.1612062249333,,X,None,nogo,l,0,0.4867995835375041,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,63,0,63,0,,,,,,,63,,,0.2,2001.9612969884183,,Y,d,go,d,1,0.42250628140755,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,64,0,64,0,,,,,,,64,,,0.2,2002.694472875446,,X,l,go,l,1,0.31282391026616096,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,65,0,65,0,,,,,,,65,,,0.2,2003.3113220308442,,Y,d,go,d,1,0.5127830861601979,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,66,0,66,0,,,,,,,66,,,0.2,2004.1276106047444,,X,l,go,l,1,0.41606313292868435,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,67,0,67,0,,,,,,,67,,,0.2,2004.8446531662485,2005.6447948388522,X,None,nogo,None,1,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,68,0,68,0,,,,,,,68,,,0.2,2005.8445338935126,,X,None,nogo,l,0,0.28275216731708497,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,69,0,69,0,,,,,,,69,,,0.2,2006.4279818531359,,Y,d,go,d,1,0.3551904351916164,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,70,0,70,0,,,,,,,70,,,0.2,2007.0946506208275,,X,l,go,l,1,0.3452655915170908,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,71,0,71,0,,,,,,,71,,,0.2,2007.7442978209583,,Y,d,go,d,1,0.49476854933891445,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,72,0,72,0,,,,,,,72,,,0.2,2008.5444428875344,,X,l,go,l,1,0.3671303082956001,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,73,0,73,0,,,,,,,73,,,0.2,2009.2276813441422,,Y,d,go,d,1,0.5161202965537086,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,74,0,74,0,,,,,,,74,,,0.2,2010.0444969481323,,X,l,go,l,1,0.3712607305496931,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,75,0,75,0,,,,,,,75,,,0.2,2010.7276757684303,2011.5277941683307,X,None,nogo,None,1,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,76,0,76,0,,,,,,,76,,,0.2,2011.7279375864891,,Y,d,go,l,0,0.19132045411970466,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,77,0,77,0,,,,,,,77,,,0.2,2012.2277627986623,2013.0279815621907,X,l,go,None,0,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,78,0,78,0,,,,,,,78,,,0.2,2013.2276808592724,,X,None,nogo,l,0,0.4670294113457203,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,79,0,79,0,,,,,,,79,,,0.2,2014.011027388624,,Y,d,go,d,1,0.40471719903871417,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,80,0,80,0,,,,,,,80,,,0.2,2014.72780570772,,X,l,go,l,1,0.26360454014502466,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,81,0,81,0,,,,,,,81,,,0.2,2015.2947048267815,,Y,d,go,d,1,0.2724947177339345,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,82,0,82,0,,,,,,,82,,,0.2,2015.8779472106835,2016.6778833076824,Y,None,nogo,None,1,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,83,0,83,0,,,,,,,83,,,0.2,2016.8779413924785,,X,l,go,l,1,0.2577403006143868,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,84,0,84,0,,,,,,,84,,,0.2,2017.444609238999,,Y,d,go,d,1,0.34662946965545416,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,85,0,85,0,,,,,,,85,,,0.2,2018.0943393482594,2018.8943215057952,Y,None,nogo,None,1,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,86,0,86,0,,,,,,,86,,,0.2,2019.09433789365,,X,l,go,l,1,0.26480163051746786,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,87,0,87,0,,,,,,,87,,,0.2,2019.6611012552166,,Y,d,go,d,1,0.38694169255904853,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,88,0,88,0,,,,,,,88,,,0.2,2020.3611324309604,2021.1611422249116,Y,None,nogo,None,1,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,89,0,89,0,,,,,,,89,,,0.2,2021.360988431028,,X,l,go,l,1,0.25370442389976233,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,90,0,90,0,,,,,,,90,,,0.2,2021.927901610732,,Y,d,go,d,1,0.31170100171584636,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,91,0,91,0,,,,,,,91,,,0.2,2022.5446470086463,,X,l,go,l,1,0.3502760133706033,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,92,0,92,0,,,,,,,92,,,0.2,2023.1946399055887,,X,None,nogo,d,0,0.45297366054728627,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,93,0,93,0,,,,,,,93,,,0.2,2023.9609668068588,2024.7610735703493,Y,d,go,None,0,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,94,0,94,0,,,,,,,94,,,0.2,2024.9609944431577,,X,l,go,l,1,0.30242536996956915,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,95,0,95,0,,,,,,,95,,,0.2,2025.5775885684416,,X,None,nogo,d,0,0.11732242931611836,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,,,,,,,,,1,0,1,0,96,0,96,0,,,,,,,96,,,0.2,2026.0112572066719,,X,None,nogo,l,0,0.6275975758908316,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
