loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11,0,11,0,41,0,41,0,,,,,,,41,,,0.2,3984.7815161212347,Y,l,go,l,1,0.33536236360669136,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,42,0,42,0,,,,,,,42,,,0.2,3985.3485764849465,X,d,go,d,1,0.3295674545224756,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,43,0,43,0,,,,,,,43,,,0.2,3985.898816484958,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,44,0,44,0,,,,,,,44,,,0.2,3986.900132363662,Y,l,go,l,1,0.3931916968431324,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,45,0,45,0,,,,,,,45,,,0.2,3987.5171587879304,X,d,go,d,1,0.33603678783401847,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,46,0,46,0,,,,,,,46,,,0.2,3988.0843553938903,Y,l,go,l,1,0.48849593941122293,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,47,0,47,0,,,,,,,47,,,0.2,3988.8015806060284,Y,None,nogo,None,1,,3989.602021818282,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,48,0,48,0,,,,,,,48,,,0.2,3989.80217018188,Y,None,nogo,d,0,0.3550879394169897,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,49,0,49,0,,,,,,,49,,,0.2,3990.386019878788,X,d,go,d,1,0.6189478181768209,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,50,0,50,0,,,,,,,50,,,0.2,3991.236564363586,Y,l,go,l,1,0.3295199393760413,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,51,0,51,0,,,,,,,51,,,0.2,3991.7867010908667,X,d,go,d,1,0.4665308485273272,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,52,0,52,0,,,,,,,52,,,0.2,3992.4704770909157,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,53,0,53,0,,,,,,,53,,,0.2,3993.471426909091,Y,l,go,l,1,0.31787193939089775,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,54,0,54,0,,,,,,,54,,,0.2,3994.021969939349,X,d,go,d,1,0.4073419999331236,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,55,0,55,0,,,,,,,55,,,0.2,3994.655690666754,Y,l,go,l,1,0.44591509085148573,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,11,0,11,0,56,0,56,0,,,,,,,56,,,0.2,3995.3229149091057,X,d,go,d,1,0.5308862423989922,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
