loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,1,0,1,0,115,0,115,0,,,,,,,115,,,0.2,2003.7385910909647,Y,d,go,d,1,0.34699158905652894,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,116,0,116,0,,,,,,,116,,,0.2,2004.3891072134065,X,l,go,l,1,0.6079541396671857,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,117,0,117,0,,,,,,,117,,,0.2,2005.3067942890739,X,None,nogo,None,1,,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,118,0,118,0,,,,,,,118,,,0.2,2006.3077272110027,Y,d,go,d,1,0.42565118455252104,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,119,0,119,0,,,,,,,119,,,0.2,2007.0415076412214,X,l,go,l,1,0.35582891151318563,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,120,0,120,0,,,,,,,120,,,0.2,2007.70893861464,Y,d,go,d,1,0.43207456126231136,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,121,0,121,0,,,,,,,121,,,0.2,2008.4431522750947,X,l,go,l,1,0.4177878096148788,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,122,0,122,0,,,,,,,122,,,0.2,2009.1771755768095,Y,d,go,d,1,0.4920933591880612,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,123,0,123,0,,,,,,,123,,,0.2,2009.9779364374117,X,l,go,l,1,0.5234049103938787,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,,,,,,,,,1,0,1,0,124,0,124,0,,,,,,,124,,,0.2,2010.8123025899868,X,None,nogo,None,1,,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
