loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,20299.848352073575,20300.0482346433,0.2,20300.0482346433,Y,None,nogo,None,1,20300.848458255292,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,20301.448319297866,20301.648088897928,0.2,20301.648088897928,X,l,go,l,1,,0.03862632787786424,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,20302.398263564566,20302.59827801294,0.2,20302.59827801294,Y,d,go,d,1,,0.25601337396074086,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,20303.564758029184,20303.764966416988,0.2,20303.764966416988,Y,None,nogo,None,1,20304.564902998856,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20305.215235289652,None,,20305.215235289652,20305.215235289652,space,6.329929944244213,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,20312.564953907975,X,l,go,l,1,,0.2910131146200001,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,1,,,1,20313.964983774582,Y,d,go,d,1,,0.28249917936045676,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,2,,,1,20315.348316922085,X,l,go,l,1,,0.29006426653359085,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,3,,,1,20316.74827406148,X,None,nogo,d,0,,0.20239546056836843,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,4,,,1,20318.06475051411,Y,d,go,d,1,,0.31013746897224337,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,5,,,1,20319.481537221116,X,l,go,l,1,,0.2682974892668426,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,6,,,1,20320.86492903519,Y,d,go,d,1,,0.2946974764345214,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,7,,,1,20322.26477320504,X,l,go,l,1,,0.28589166258461773,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,8,,,1,20323.664923798875,X,None,nogo,None,1,20324.464718805044,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,9,,,1,20325.464975289768,Y,d,go,d,1,,0.333657942363061,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,10,,,1,20326.89855374617,X,l,go,l,1,,0.292595659266226,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,11,,,1,20328.29811379488,X,None,nogo,d,0,,0.23512950527947396,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,12,,,1,20329.66513955628,Y,d,go,d,1,,0.3258271582890302,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,13,,,1,20331.098302013008,X,l,go,l,1,,0.3321175795281306,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,14,,,1,20332.531610408914,X,None,nogo,None,1,20333.33162650594,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,15,,,1,20334.331450505997,Y,d,go,d,1,,0.31474983040243387,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,16,,,1,20335.747947273776,X,l,go,l,1,,0.370073439902626,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,17,,,1,20337.231505342294,Y,d,go,d,1,,0.27985433221329004,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,18,,,1,20338.61484236864,Y,None,nogo,None,1,20339.414838586817,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,19,,,1,20340.414610708132,X,l,go,l,1,,0.24783398408908397,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
