loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,612.5777821737283,612.777951192169,0.2,612.777951192169,Y,l,go,l,1,0.6041392971819732,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,614.095238926413,614.2957066119416,0.2,614.2957066119416,X,d,go,d,1,0.4626350913604256,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,615.4629524309712,615.6634986620629,0.2,615.6634986620629,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,617.0642022752145,617.2643460814725,0.2,617.2643460814725,Y,l,go,l,1,0.325700589135522,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.3306467839575,None,,618.3306467839575,618.3306467839575,space,12.606708028179128,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,631.9589066068875,X,d,go,d,1,0.3829704906383995,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,1,,,1,633.4433533721603,Y,l,go,l,1,0.44980840603238903,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,2,,,1,634.994839265215,X,d,go,d,1,0.4510690139431972,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,3,,,1,636.5627872428449,Y,l,go,l,1,0.43540790025144815,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,4,,,1,638.1136079228309,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,5,,,1,639.9152871495171,X,d,go,d,1,0.25010969131835736,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,6,,,1,641.266228750872,Y,l,go,l,1,0.5648568157921545,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,7,,,1,642.9342350558436,X,d,go,d,1,0.46423121489351615,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,8,,,1,644.5018101844471,Y,l,go,l,1,0.5284349446592387,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,9,,,1,646.136628077511,X,d,go,d,1,0.526058213901706,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,10,,,1,647.7713766371598,Y,l,go,l,1,0.5553406807594001,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,11,,,1,649.4391817297146,X,d,go,d,1,0.5021061790757813,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,12,,,1,651.0568146281003,Y,l,go,l,1,0.516588139522355,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,13,,,1,652.6750560122018,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,14,,,1,654.476440450584,X,d,go,d,1,0.2652321375499014,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,15,,,1,655.8441238944943,Y,l,go,l,1,0.46540842874674127,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,16,,,1,657.4117887201719,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,17,,,1,659.2133370375668,Y,None,nogo,l,0,0.617025618936168,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
