loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,3719.014624983887,3719.214950511465,0.2,3719.214950511465,Y,l,go,l,1,0.4323267907893751,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,3720.3490519748448,3720.5494351994566,0.2,3720.5494351994566,X,d,go,d,1,0.47498283215099946,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,3721.733539135559,3721.9336964205577,0.2,3721.9336964205577,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3723.3735014530976,None,,3723.3735014530976,3723.3735014530976,space,10.78888665168779,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,3735.1939463698945,X,d,go,d,1,0.4380431599711301,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,1,,,1,3736.744810904056,Y,l,go,l,1,0.3747306137229316,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,2,,,1,3738.229538646832,X,d,go,d,1,0.41131780071009416,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,3,,,1,3739.747332118626,X,None,nogo,None,1,,3740.5478982282657,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,4,,,1,3741.548667683557,Y,l,go,l,1,0.3707853977830382,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,5,,,1,3743.0331486382056,X,d,go,d,1,0.40650664454733487,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,6,,,1,3744.550748655267,Y,l,go,l,1,0.5366255585831823,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,7,,,1,3746.2024632266402,X,d,go,d,1,0.453050689669908,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,8,,,1,3747.7704870501766,Y,l,go,l,1,0.6292040726111736,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,9,,,1,3749.5051878838276,Y,None,nogo,l,0,0.5105852909182431,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,10,,,1,3751.1232195134216,X,d,go,d,1,0.6359846852428745,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,11,,,1,3752.874256847761,Y,l,go,None,0,,3753.674807927091,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,12,,,1,3754.6755235641467,X,d,go,d,1,0.4922293943382101,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,13,,,1,3756.2765888742724,Y,l,go,l,1,0.5073052877414739,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,14,,,1,3757.8946937160654,X,d,go,d,1,0.39214105485007167,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,15,,,1,3759.395882080862,Y,l,go,l,1,0.44460413602064364,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,16,,,1,3760.947049160779,X,d,go,d,1,0.38185159032582305,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,17,,,1,3762.431522842686,Y,l,go,l,1,0.38450565352104604,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,18,,,1,3763.965699360677,X,d,go,d,1,0.43406836823851336,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,19,,,1,3765.5170177134714,Y,l,go,l,1,0.4501003837794997,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,20,,,1,3767.0682066115987,X,d,go,d,1,0.30863794356992,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,21,,,1,3768.4859384106094,Y,l,go,l,1,0.34612452538567595,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,22,,,1,3769.937085514757,X,d,go,d,1,0.2866830131970346,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,23,,,1,3771.3380992369493,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,24,,,1,3773.1395036504255,Y,l,go,l,1,0.36456963418459054,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,25,0,25,0,,,,,,,25,,,1,3774.6070260431734,X,d,go,d,1,0.47978671560122166,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,26,0,26,0,,,,,,,26,,,1,3776.191893034571,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,27,0,27,0,,,,,,,27,,,1,3777.9932494480017,Y,l,go,l,1,0.3427800372883212,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
