loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,8,0,8,0,216,0,216,0,,,,,,,216,,,1,3673.5000620605424,X,l,go,l,1,0.38147726049646735,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,217,0,217,0,,,,,,,217,,,1,3674.90007282421,X,None,nogo,d,0,0.35739437444135547,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,218,0,218,0,,,,,,,218,,,1,3676.2833674827125,Y,d,go,None,0,,3677.083335676696,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,219,0,219,0,,,,,,,219,,,1,3678.083367676707,X,l,go,l,1,0.4220997663214803,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,220,0,220,0,,,,,,,220,,,1,3679.5332683313172,Y,d,go,d,1,0.3964217307511717,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,221,0,221,0,,,,,,,221,,,1,3680.9497110790107,Y,None,nogo,None,1,,3681.750044848537,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,222,0,222,0,,,,,,,222,,,1,3682.749732606346,X,l,go,l,1,0.3152542943134904,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,223,0,223,0,,,,,,,223,,,1,3684.0831911920104,Y,d,go,d,1,0.32679319218732417,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,224,0,224,0,,,,,,,224,,,1,3685.4334895189386,X,l,go,l,1,0.3030080031603575,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,225,0,225,0,,,,,,,225,,,1,3686.7666790140793,X,None,nogo,None,1,,3687.5667209050152,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,226,0,226,0,,,,,,,226,,,1,3688.5663480567746,Y,d,go,d,1,0.30763975600712,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,227,0,227,0,,,,,,,227,,,1,3689.9001145211514,X,l,go,l,1,0.3646709737367928,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,228,0,228,0,,,,,,,228,,,1,3691.283364088973,Y,d,go,d,1,0.4533554937224835,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,229,0,229,0,,,,,,,229,,,1,3692.7667308929376,X,l,go,l,1,0.37876550550572574,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,230,0,230,0,,,,,,,230,,,1,3694.166675717104,X,None,nogo,d,0,0.2900291064288467,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,231,0,231,0,,,,,,,231,,,1,3695.4833755313884,Y,d,go,d,1,0.590273663867265,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,232,0,232,0,,,,,,,232,,,1,3697.100149236154,X,l,go,l,1,0.33321500406600535,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,233,0,233,0,,,,,,,233,,,1,3698.450072775595,Y,d,go,d,1,0.32736337347887456,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,234,0,234,0,,,,,,,234,,,1,3699.79968649731,Y,None,nogo,None,1,,3700.5996891155373,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,235,0,235,0,,,,,,,235,,,1,3701.599798691226,X,l,go,l,1,0.3152106578927487,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,236,0,236,0,,,,,,,236,,,1,3702.9330303680617,Y,d,go,d,1,0.42097491887398064,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,237,0,237,0,,,,,,,237,,,1,3704.3833310222253,Y,None,nogo,None,1,,3705.183372428175,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,238,0,238,0,,,,,,,238,,,1,3706.18336660997,X,l,go,l,1,0.3699756956193596,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,239,0,239,0,,,,,,,239,,,1,3707.5833477978595,Y,d,go,d,1,0.44283429183997214,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,240,0,240,0,,,,,,,240,,,1,3709.0500314666424,Y,None,nogo,None,1,,3709.8496927518863,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,241,0,241,0,,,,,,,241,,,1,3710.8500306908973,Y,None,nogo,None,1,,3711.650099733146,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,242,0,242,0,,,,,,,242,,,1,3712.6497991273645,X,l,go,l,1,0.49645702773705125,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
