loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6,0,6,0,210,0,210,0,,,,,,,210,,,1,3110.5073505490145,X,l,go,l,1,0.36036415172566194,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,211,0,211,0,,,,,,,211,,,1,3111.974801442324,Y,d,go,d,1,0.22051826573442668,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,212,0,212,0,,,,,,,212,,,1,3113.309419786383,X,l,go,l,1,0.23034760385053232,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,213,0,213,0,,,,,,,213,,,1,3114.6438083121466,X,None,nogo,d,0,0.2728407153481385,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,214,0,214,0,,,,,,,214,,,1,3116.028242922781,Y,d,go,None,0,,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,215,0,215,0,,,,,,,215,,,1,3117.8300202812097,X,l,go,l,1,0.31679613060259726,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,216,0,216,0,,,,,,,216,,,1,3119.2645402494672,X,None,nogo,l,0,0.38571883068652824,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,217,0,217,0,,,,,,,217,,,1,3120.7825264400017,Y,d,go,d,1,0.3886754381819628,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,218,0,218,0,,,,,,,218,,,1,3122.28344256166,X,l,go,l,1,0.3124286133388523,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,219,0,219,0,,,,,,,219,,,1,3123.7012085823953,Y,d,go,d,1,0.4293222457636148,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,220,0,220,0,,,,,,,220,,,1,3125.2525761224533,X,l,go,l,1,0.27122132062504534,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,221,0,221,0,,,,,,,221,,,1,3126.6367464905343,X,None,nogo,l,0,0.46916371963743586,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,222,0,222,0,,,,,,,222,,,1,3128.238215388221,Y,d,go,d,1,0.4212475751992315,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,223,0,223,0,,,,,,,223,,,1,3129.7727101928176,X,l,go,l,1,0.4062235679011792,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,224,0,224,0,,,,,,,224,,,1,3131.3071647549805,Y,d,go,d,1,0.28043877964955755,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,225,0,225,0,,,,,,,225,,,1,3132.708254404002,Y,None,nogo,l,0,0.3182729798136279,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,226,0,226,0,,,,,,,226,,,1,3134.1593949863745,X,l,go,l,1,0.243304216186516,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,227,0,227,0,,,,,,,227,,,1,3135.5270800131257,Y,d,go,d,1,0.23661475839617196,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,228,0,228,0,,,,,,,228,,,1,3136.8781570318242,X,l,go,l,1,0.3096014604525408,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,229,0,229,0,,,,,,,229,,,1,3138.2958614767704,X,None,nogo,l,0,0.5078890717559261,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,230,0,230,0,,,,,,,230,,,1,3139.9134981398674,Y,d,go,d,1,0.4259758199186763,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,231,0,231,0,,,,,,,231,,,1,3141.4482857931,X,l,go,l,1,0.41004272126883734,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,232,0,232,0,,,,,,,232,,,1,3142.982624961267,X,None,nogo,d,0,0.42982357935397886,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,233,0,233,0,,,,,,,233,,,1,3144.517098432523,Y,d,go,l,0,0.2051669855718501,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,234,0,234,0,,,,,,,234,,,1,3145.851657140185,X,l,go,l,1,0.1512236866983585,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,235,0,235,0,,,,,,,235,,,1,3147.135700914281,X,None,nogo,d,0,0.22799657240102533,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,236,0,236,0,,,,,,,236,,,1,3148.470108349138,X,None,nogo,l,0,0.22078929617418908,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,237,0,237,0,,,,,,,237,,,1,3149.821120398119,Y,d,go,l,0,0.2629338014667155,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,238,0,238,0,,,,,,,238,,,1,3151.1888136672933,X,l,go,l,1,0.23810857730859425,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,239,0,239,0,,,,,,,239,,,1,3152.5564982092037,Y,d,go,d,1,0.23144481649796944,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,240,0,240,0,,,,,,,240,,,1,3153.9075185006077,Y,None,nogo,None,1,,3154.7083232525183,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,241,0,241,0,,,,,,,241,,,1,3155.7091460407973,Y,None,nogo,None,1,,3156.5097151562222,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,242,0,242,0,,,,,,,242,,,1,3157.5102955201437,X,l,go,l,1,0.4930798524437705,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,243,0,243,0,,,,,,,243,,,1,3159.111521023762,Y,d,go,d,1,0.5549295793898636,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,244,0,244,0,,,,,,,244,,,1,3160.7963475376164,Y,None,nogo,l,0,0.3908499847020721,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,245,0,245,0,,,,,,,245,,,1,3162.2972767501924,X,l,go,l,1,0.2504518560162978,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,246,0,246,0,,,,,,,246,,,1,3163.6481777688023,Y,d,go,d,1,0.24420409540471155,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,247,0,247,0,,,,,,,247,,,1,3164.999062302566,Y,None,nogo,d,0,0.5560602466139244,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,248,0,248,0,,,,,,,248,,,1,3166.6669816567155,X,l,go,l,1,0.2486244611791335,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,6,0,6,0,249,0,249,0,,,,,,,249,,,1,3168.017858432897,Y,d,go,d,1,0.657704417113564,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,0,0,0,0,,,,,,,0,,,0.2,3195.756381942483,X,l,go,None,0,,3196.5571799065074,,,,,,,,3168.7879766244732,space,26.739267608179944,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,1,0,1,0,,,,,,,1,,,0.2,3196.7568735790846,Y,d,go,d,1,0.5748927405948052,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,2,0,2,0,,,,,,,2,,,0.2,3197.6574267429824,X,l,go,l,1,0.39461919863242656,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,3,0,3,0,,,,,,,3,,,0.2,3198.3576113249,Y,d,go,d,1,0.5741223159711808,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,4,0,4,0,,,,,,,4,,,0.2,3199.2416166019975,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,5,0,5,0,,,,,,,5,,,0.2,3200.242431147839,X,l,go,l,1,0.3209343144262675,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,6,0,6,0,,,,,,,6,,,0.2,3200.8762763036502,Y,d,go,d,1,0.5193397439579712,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,7,0,7,0,,,,,,,7,,,0.2,3201.710251495868,Y,None,nogo,None,1,,3202.5108089749265,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,8,0,8,0,,,,,,,8,,,0.2,3202.711038405352,X,l,go,l,1,0.3653178511012811,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,9,0,9,0,,,,,,,9,,,0.2,3203.377863940783,Y,d,go,d,1,0.5625436436966993,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,10,0,10,0,,,,,,,10,,,0.2,3204.2456214524136,X,l,go,l,1,0.6540733850561082,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,11,0,11,0,,,,,,,11,,,0.2,3205.212605193985,Y,d,go,d,1,0.3746002798434347,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,12,0,12,0,,,,,,,12,,,0.2,3205.896433889182,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,13,0,13,0,,,,,,,13,,,0.2,3206.89753158667,X,l,go,None,0,,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,,,,,,,,,7,0,7,0,14,0,14,0,,,,,,,14,,,0.2,3207.8985822538525,Y,d,go,None,0,,3208.699147005638,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
