loop_instruction.thisRepN;loop_instruction.thisTrialN;loop_instruction.thisN;loop_instruction.thisIndex;loop_rsi_practice.thisRepN;loop_rsi_practice.thisTrialN;loop_rsi_practice.thisN;loop_rsi_practice.thisIndex;loop_practice.thisRepN;loop_practice.thisTrialN;loop_practice.thisN;loop_practice.thisIndex;loop_exp.thisRepN;loop_exp.thisTrialN;loop_exp.thisN;loop_exp.thisIndex;loop_trials.thisRepN;loop_trials.thisTrialN;loop_trials.thisN;loop_trials.thisIndex;map_condition;map_x_key;map_y_key;key_resp_welcome.started;key_resp_welcome.keys;key_resp_welcome.rt;index;text_empty_rsi_practice.started;text_empty_rsi_practice.stopped;rsi;stimulus.started;stimulus;correct;trial_type;key_resp_trial.keys;key_resp_trial.corr;stimulus.stopped;key_resp_trial.rt;key_resp_instruction_rsi.started;key_resp_instruction_rsi.keys;key_resp_instruction_rsi.rt;key_resp_instruction_rsi.stopped;key_resp_instruction_final.started;key_resp_instruction_final.keys;key_resp_instruction_final.rt;key_resp_break.started;key_resp_break.keys;key_resp_break.rt;key_resp_break.stopped;key_resp_end_screen.started;image_end_screen.started;key_resp_end_screen.stopped;image_end_screen.stopped;key_resp_end_screen.keys;participant;session;Alter;Geschlecht (w/m/d/andere);Studiengang;date;expName;psychopyVersion;frameRate
;;;;;;;;;;;;3;0;3;0;95;0;95;0;;;;;;;95;;;0.2;2.405.485.830.552.350;X;d;go;d;1;;0.48365973023464903;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;96;0;96;0;;;;;;;96;;;0.2;24.062.696.110.208.000;X;None;nogo;None;1;24.070.706.404.506.300;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;97;0;97;0;;;;;;;97;;;0.2;24.072.707.513.839.100;X;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;98;0;98;0;;;;;;;98;;;0.2;2.408.271.589.201.640;Y;l;go;l;1;;0.37030511850025505;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;99;0;99;0;;;;;;;99;;;0.2;240.895.521.359.751;X;d;go;d;1;;0.40641564643010497;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;100;0;100;0;;;;;;;100;;;0.2;24.096.723.987.042.700;X;None;nogo;None;1;24.104.728.341.950.100;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;101;0;101;0;;;;;;;101;;;0.2;2.410.673.171.552.420;Y;l;go;l;1;;0.3517839153064415;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;102;0;102;0;;;;;;;102;;;0.2;24.113.403.857.743.800;X;d;go;d;1;;0.3410857387352735;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;103;0;103;0;;;;;;;103;;;0.2;24.119.910.264.285.800;X;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;104;0;104;0;;;;;;;104;;;0.2;24.129.917.066.707.200;Y;l;go;l;1;;0.46629779919749126;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;105;0;105;0;;;;;;;105;;;0.2;24.137.588.408.442.000;X;d;go;d;1;;0.3228205354535021;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;106;0;106;0;;;;;;;106;;;0.2;2.414.392.873.991.330;Y;l;go;l;1;;0.505124447052367;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;107;0;107;0;;;;;;;107;;;0.2;24.152.100.018.375.700;X;d;go;d;1;;0.47187646315433085;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;108;0;108;0;;;;;;;108;;;0.2;2.415.993.718.790.930;Y;l;go;l;1;;0.34396719181677327;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;109;0;109;0;;;;;;;109;;;0.2;2.416.644.170.839.220;X;d;go;d;1;;0.47674191533587873;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;110;0;110;0;;;;;;;110;;;0.2;24.174.282.756.711.400;Y;l;go;l;1;;0.4296825442579575;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;111;0;111;0;;;;;;;111;;;0.2;2.418.162.281.618.270;Y;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;112;0;112;0;;;;;;;112;;;0.2;2.419.163.030.223.970;Y;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;113;0;113;0;;;;;;;113;;;0.2;24.201.637.274.358.000;X;d;go;d;1;;0.4775588846532628;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;114;0;114;0;;;;;;;114;;;0.2;2.420.947.762.934.430;Y;l;go;l;1;;0.28620528045576066;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;115;0;115;0;;;;;;;115;;;0.2;24.215.482.659.160.000;Y;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;116;0;116;0;;;;;;;116;;;0.2;24.225.489.146.429.400;X;d;go;d;1;;0.4125111586181447;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;117;0;117;0;;;;;;;117;;;0.2;24.232.658.549.014.000;Y;l;go;l;1;;0.3354944686871022;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
