loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,1280.315427241003,1280.5153447198245,0.2,1280.5153447198245,X,l,go,l,1,,0.22381055729056243,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,1281.449566327472,1281.6497509576875,0.2,1281.6497509576875,X,None,nogo,d,0,,0.28943719214294106,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,1283.050433430093,1283.250874060177,0.2,1283.250874060177,Y,d,go,d,1,,0.5127277505525853,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,1284.4683910456224,1284.6685417364642,0.2,1284.6685417364642,X,l,go,l,1,,0.2468001219094731,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,1285.6193504875846,1285.8195050572103,0.2,1285.8195050572103,Y,d,go,d,1,,0.2804548934655031,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286.8568049179012,None,,1286.8568049179012,1286.8568049179012,space,8.68528669718944,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,1296.560910758344,X,l,go,l,1,,0.40232295558962505,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,1,,,1,1298.0788111133006,Y,d,go,d,1,,0.46847225686360616,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,2,,,1,1299.6634062238008,X,l,go,l,1,,0.26027017598971725,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,3,,,1,1301.0307369547954,X,None,nogo,l,0,,0.3329149892524583,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
