loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5,0,5,0,184,0,184,0,,,,,,,184,,,0.2,2120.479367969994,2121.2799669526867,X,d,go,None,0,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,185,0,185,0,,,,,,,185,,,0.2,2121.480501062557,,Y,l,go,l,1,0.3837558301456738,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,186,0,186,0,,,,,,,186,,,0.2,2122.1639759960817,,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,187,0,187,0,,,,,,,187,,,0.2,2123.165140118974,,X,d,go,d,1,0.39527342264773324,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,188,0,188,0,,,,,,,188,,,0.2,2123.8652793192014,,Y,l,go,None,0,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,189,0,189,0,,,,,,,189,,,0.2,2124.8664153208374,,X,d,go,None,0,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,190,0,190,0,,,,,,,190,,,0.2,2125.8670145944343,,X,None,nogo,l,0,0.2366826465295162,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,191,0,191,0,,,,,,,191,,,0.2,2126.417253455409,2127.2181491657975,Y,l,go,None,0,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,192,0,192,0,,,,,,,192,,,0.2,2127.4183113963227,,X,d,go,d,1,0.44621022400679067,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,193,0,193,0,,,,,,,193,,,0.2,2128.168608730106,,X,None,nogo,l,0,0.35122390402830206,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,194,0,194,0,,,,,,,194,,,0.2,2128.83604679181,,Y,l,go,None,0,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,195,0,195,0,,,,,,,195,,,0.2,2129.8368875203305,,X,d,go,d,1,0.23407658212818205,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,196,0,196,0,,,,,,,196,,,0.2,2130.3872325632547,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,197,0,197,0,,,,,,,197,,,0.2,2131.3876519578043,,Y,l,go,l,1,0.49182677519274876,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,198,0,198,0,,,,,,,198,,,0.2,2132.188596153108,,X,d,go,d,1,0.29829146337579004,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,199,0,199,0,,,,,,,199,,,0.2,2132.7888913292845,2133.5896357667516,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,200,0,200,0,,,,,,,200,,,0.2,2133.7899032095447,,Y,l,go,l,1,0.4745632349513471,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,201,0,201,0,,,,,,,201,,,0.2,2134.5738515013654,,X,d,go,d,1,0.5697556158411317,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,202,0,202,0,,,,,,,202,,,0.2,2135.457807211351,,Y,l,go,l,1,0.5176677824929357,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,203,0,203,0,,,,,,,203,,,0.2,2136.2916712121223,,X,d,go,d,1,0.3556748195842374,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,204,0,204,0,,,,,,,204,,,0.2,2136.9585982428107,,Y,l,go,l,1,0.5524174087913707,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,,,,,,,,,5,0,5,0,205,0,205,0,,,,,,,205,,,0.2,2137.825946898345,,X,d,go,d,1,0.3732496330339927,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
