loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7,0,7,0,203,0,203,0,,,,,,,203,,,0.2,21072.847791588865,X,d,go,None,0,,21073.648083079606,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,204,0,204,0,,,,,,,204,,,0.2,21073.848074740265,Y,l,go,None,0,,21074.648242594674,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,205,0,205,0,,,,,,,205,,,0.2,21074.848081043223,Y,None,nogo,None,1,,21075.648068049457,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,206,0,206,0,,,,,,,206,,,0.2,21075.847791588865,X,d,go,d,1,0.36420633760280907,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,207,0,207,0,,,,,,,207,,,0.2,21076.5147473868,Y,l,go,l,1,0.2722388671245426,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,208,0,208,0,,,,,,,208,,,0.2,21077.097783225356,Y,None,nogo,None,1,,21077.89778041304,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,209,0,209,0,,,,,,,209,,,0.2,21078.097795831272,X,d,go,d,1,0.20922992774285376,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,210,0,210,0,,,,,,,210,,,0.2,21078.61443849001,Y,l,go,l,1,0.2679208084009588,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,211,0,211,0,,,,,,,211,,,0.2,21079.19800717663,Y,None,nogo,None,1,,21079.998129455373,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,212,0,212,0,,,,,,,212,,,0.2,21080.198105600895,X,d,go,d,1,0.20565514150075614,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,213,0,213,0,,,,,,,213,,,0.2,21080.714422926307,Y,l,go,l,1,0.29682212765328586,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,214,0,214,0,,,,,,,214,,,0.2,21081.31444154447,X,d,go,d,1,0.4166484938468784,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,215,0,215,0,,,,,,,215,,,0.2,21082.03142059082,X,None,nogo,None,1,,21082.831414384767,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,216,0,216,0,,,,,,,216,,,0.2,21083.031380833127,X,None,nogo,None,1,,21083.83121026354,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,217,0,217,0,,,,,,,217,,,0.2,21084.031398772495,Y,l,go,l,1,0.13095360225997865,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,218,0,218,0,,,,,,,218,,,0.2,21084.46448898688,X,d,go,l,0,0.13047408708371222,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,219,0,219,0,,,,,,,219,,,0.2,21084.898108655354,X,None,nogo,l,0,0.06482417974621058,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
